,2024-06-1,4.3,16.0,9.4,,,SSW,22,14:46,9.9,87,, ,Calm,1027.2,14.6,61,,SSW,11,1026.6
,2024-06-2,4.0,16.4,0,,,W,20,15:25,10.5,88,, ,Calm,1028.6,15.3,55,,WNW,9,1023.8
,2024-06-3,5.6,13.4,0,,,ENE,24,08:04,8.5,71,,N,6,1018.7,12.8,57,,N,9,1014.4
,2024-06-4,8.5,15.2,0,,,NNE,20,04:25,10.1,80,,NE,7,1017.7,15.1,58,,NE,7,1016.5
,2024-06-5,5.9,17.4,0.4,,,SSW,24,16:37,10.4,83,,NNE,6,1024.6,16.9,75,,WSW,13,1024.0
,2024-06-6,8.3,17.0,0,,,SW,26,15:33,11.8,95,, ,Calm,1028.3,15.1,72,,SSW,6,1026.3
,2024-06-7,8.6,15.6,0.2,,,,,,13.6,82,,S,4,1026.0,14.9,75,,SW,13,1022.8
,2024-06-8,8.6,15.7,0,,,W,17,15:27,11.4,79,,NE,9,1021.6,14.1,66,,WNW,9,1019.7
,2024-06-9,9.9,17.7,0,,,NE,20,07:59,12.0,78,,NE,11,1021.8,16.9,62,,WNW,9,1020.5
,2024-06-10,11.2,20.6,0,,,N,30,14:34,15.1,59,,NNE,11,1021.6,20.6,42,,NNW,13,1017.7
,2024-06-11,15.1,19.3,1.0,,,SW,46,13:59,16.2,73,,NW,17,1015.1,15.3,89,,SW,7,1014.9
,2024-06-12,12.9,18.1,9.2,,,SW,24,02:19,14.4,79,,S,7,1022.7,16.4,58,,WSW,15,1022.4
,2024-06-13,9.2,16.0,0.4,,,N,17,12:14,12.9,81,,NE,7,1021.8,15.5,74,,N,9,1018.4
,2024-06-14,12.7,17.3,12.6,,,NE,31,04:21,14.0,87,,N,11,1014.2,15.9,90,,WNW,15,1012.7
,2024-06-15,10.2,13.7,4.6,,,S,26,08:18,10.9,83,,SSW,6,1020.7,12.7,70,,S,13,1020.9
,2024-06-16,5.0,16.4,0.2,,,WNW,19,14:00,9.6,93,, ,Calm,1025.4,15.7,59,,W,9,1023.2
,2024-06-17,3.0,15.3,0,,,NNW,28,13:02,6.8,95,, ,Calm,1024.0,13.1,63,,NW,11,1021.0
,2024-06-18,6.8,15.2,0,,,ENE,20,06:29,12.5,70,,NE,9,1018.5,15.0,65,,N,9,1015.6
,2024-06-19,11.4,17.9,0,,,WNW,35,19:29,13.3,64,,NE,11,1014.2,15.2,66,,N,15,1010.5
,2024-06-20,8.6,14.9,7.6,,,N,26,10:12,10.4,86,,N,11,1012.6,12.8,74,,NNE,9,1012.8
,2024-06-21,5.1,16.0,0,,,S,28,15:18,8.8,92,,N,2,1025.7,15.6,69,,WSW,11,1026.2
,2024-06-22,3.2,14.6,0.2,,,W,17,13:27,8.4,98,, ,Calm,1032.0,13.9,70,,W,9,1028.4
,2024-06-23,6.1,14.8,0,,,N,35,12:54,9.8,68,,NNE,13,1024.9,13.6,53,,NW,17,1020.3
,2024-06-24,8.8,14.6,0.4,,,NNW,43,12:48,9.3,75,,N,15,1013.7,13.3,76,,NNW,17,1010.9
,2024-06-25,8.3,12.9,9.4,,,NW,43,12:02,10.7,81,,N,17,1011.3,10.2,95,,NNW,17,1009.5
,2024-06-26,8.3,14.4,8.2,,,NNW,35,14:33,9.4,94,,N,9,1016.0,13.3,83,,NNW,20,1015.8
,2024-06-27,9.4,16.4,0.6,,,NW,28,15:19,11.1,93,,NNE,9,1021.5,15.8,67,,NW,13,1019.9
,2024-06-28,10.6,15.8,0,,,N,41,13:35,14.7,48,,NNE,17,1017.0,15.6,49,,NNW,19,1016.0
,2024-06-29,10.2,12.5,17.2,,,N,30,02:18,10.7,96,,ENE,9,1015.4,11.5,80,,SSE,13,1016.4
,2024-06-30,3.1,13.7,2.2,,,SE,22,10:47,8.6,93,, ,Calm,1026.8,11.8,67,,SSE,11,1025.8
