,2025-06-1,2.9,10.7,0,,,SW,22,05:00,7.1,26,,WSW,9,,10.3,39,,WSW,6,
,2025-06-2,2.2,8.5,0,,,SW,28,13:20,5.6,26,,WSW,13,,6.9,43,,SW,9,
,2025-06-3,1.2,6.6,0,,,SSW,43,03:24,2.5,64,,SSW,22,,5.3,78,,SSW,13,
,2025-06-4,-4.8,5.5,1.2,,,SSE,46,03:34,-3.2,83,,SSE,22,,1.1,70,,SSW,15,
,2025-06-5,-3.3,6.8,0,,,SSE,35,01:22,5.3,26,,SSW,9,,5.9,37,,SW,11,
,2025-06-6,1.8,6.4,0,,,W,50,23:21,3.5,25,,WSW,17,,3.0,42,,W,17,
,2025-06-7,-2.0,-0.7,1.2,,,WSW,56,02:00,-0.8,99,,SW,22,,-1.9,97,,SW,24,
,2025-06-8,-2.9,-2.3,2.4,,,NW,50,01:27,-2.7,97,,W,17,,-3.3,96,,WSW,11,
,2025-06-9,-4.7,-1.3,0.4,,,,,00:01,-3.5,96,, ,Calm,,-2.5,97,, ,Calm,
,2025-06-10,-3.6,0.0,2.0,,,,,00:01,-1.7,98,, ,Calm,,-1.0,99,, ,Calm,
,2025-06-11,-3.0,,7.6,,,,,,-1.6,98,, ,Calm,,-2.1,97,, ,Calm,
,2025-06-12,-4.7,,,,,,,,-1.4,97,, ,Calm,,0.2,96,, ,Calm,
,2025-06-13,-3.8,,,,,,,,-2.2,98,,ESE,6,,0.4,86,,SSE,6,
,2025-06-14,,,,,,,,,,,,,,,,,,,,
,2025-06-15,,,,,,,,,,,,,,,,,,,,
,2025-06-16,,2.4,,,,,,,-0.1,78,,WNW,17,,0.7,80,,W,19,
,2025-06-17,-2.8,0.7,0,,,SW,70,05:18,-1.3,98,,WSW,31,,-1.2,92,,WSW,24,
,2025-06-18,-4.9,5.7,0.2,,,SSW,46,06:54,0.6,24,,SSW,26,,5.1,45,,SW,4,
,2025-06-19,0.5,6.3,0,,,WNW,28,04:23,3.3,19,,W,13,,6.0,32,,WSW,9,
,2025-06-20,3.0,9.2,0,,,WSW,28,23:01,5.9,16,,SW,9,,7.8,25,,WSW,9,
,2025-06-21,3.1,8.5,0,,,SW,33,06:47,6.4,7,,SW,20,,7.7,29,,SW,11,
,2025-06-22,4.2,8.6,0,,,NW,39,23:50,6.2,11,,SW,17,,7.3,13,,WSW,7,
,2025-06-23,1.3,5.8,0,,,WNW,74,23:00,3.8,99,,WNW,31,,3.6,99,,W,19,
,2025-06-24,2.9,3.3,26.4,,,W,85,09:18,3.2,100,,W,37,,1.3,77,,W,26,
,2025-06-25,-3.0,-1.9,0.6,,,WSW,63,00:11,-2.7,97,,W,19,,-3.3,96,,SSW,17,
,2025-06-26,-7.0,0.2,0,,,SSW,54,03:27,-4.5,91,,SSE,15,,-1.8,77,,SE,9,
,2025-06-27,-4.5,3.4,8.0,,,ESE,22,00:41,0.2,57,,ESE,4,,1.9,76,,WSW,6,
,2025-06-28,-1.9,3.5,2.8,,,SW,31,23:23,0.1,99,,WSW,19,,3.2,72,,WSW,15,
,2025-06-29,-2.4,5.2,1.0,,,WSW,39,01:36,1.6,34,,SW,15,,2.0,84,,SW,6,
,2025-06-30,-2.7,1.0,0.2,,,ESE,28,10:42,-2.1,97,,ESE,11,,0.5,92,,ENE,13,
