,2024-05-1,3.9,16.4,0,,,,,,7.9,97,,,,,14.9,76,,,,
,2024-05-2,4.5,18.0,0,,,,,,8.1,98,,,,,16.9,56,,,,
,2024-05-3,3.0,18.0,0,,,,,,8.2,98,,,,,17.1,58,,,,
,2024-05-4,3.2,18.0,0,,,,,,8.8,98,,,,,15.5,90,,,,
,2024-05-5,6.6,18.8,0.2,,,,,,9.5,98,,,,,18.2,68,,,,
,2024-05-6,6.5,18.6,0.6,,,,,,10.5,98,,,,,18.0,63,,,,
,2024-05-7,3.9,18.7,0.2,,,,,,9.7,98,,,,,18.2,63,,,,
,2024-05-8,6.2,18.5,0,,,,,,11.3,98,,,,,17.9,69,,,,
,2024-05-9,7.0,19.2,0,,,,,,12.1,98,,,,,18.0,72,,,,
,2024-05-10,11.9,19.9,0,,,,,,13.5,96,,,,,17.7,82,,,,
,2024-05-11,13.5,19.2,0,,,,,,16.7,73,,,,,17.3,67,,,,
,2024-05-12,13.2,19.4,1.2,,,,,,15.5,89,,,,,18.5,66,,,,
,2024-05-13,6.7,21.1,0,,,,,,10.8,98,,,,,19.7,57,,,,
,2024-05-14,10.0,17.3,0,,,,,,13.1,73,,,,,16.5,61,,,,
,2024-05-15,3.4,17.7,0.2,,,,,,8.5,96,,,,,17.4,56,,,,
,2024-05-16,4.9,19.3,0,,,,,,10.0,88,,,,,18.9,53,,,,
,2024-05-17,2.5,16.8,,,,,,,10.4,95,,,,,12.9,91,,,,
,2024-05-18,4.0,14.4,4.6,,,,,,8.7,80,,,,,13.1,52,,,,
,2024-05-19,3.4,15.9,0,,,,,,8.9,75,,,,,13.8,79,,,,
,2024-05-20,8.0,17.8,0,,,,,,9.8,98,,,,,17.4,55,,,,
,2024-05-21,4.1,17.5,0.2,,,,,,10.6,88,,,,,16.7,44,,,,
,2024-05-22,1.5,16.7,0,,,,,,6.8,97,,,,,16.4,52,,,,
,2024-05-23,3.2,15.9,0,,,,,,7.4,90,,,,,14.8,70,,,,
,2024-05-24,2.4,17.8,0,,,,,,9.1,96,,,,,17.4,59,,,,
,2024-05-25,6.1,16.8,0.8,,,,,,8.0,97,,,,,16.5,66,,,,
,2024-05-26,3.9,17.6,0.2,,,,,,6.9,98,,,,,17.4,57,,,,
,2024-05-27,2.1,18.3,0.2,,,,,,6.5,96,,,,,18.1,50,,,,
,2024-05-28,2.2,21.1,0,,,,,,8.0,78,,,,,20.9,46,,,,
,2024-05-29,-1.0,20.1,0,,,,,,3.7,98,,,,,19.5,38,,,,
,2024-05-30,3.2,21.0,0,,,,,,13.4,81,,,,,18.0,57,,,,
,2024-05-31,10.9,19.6,4.2,,,,,,15.7,61,,,,,17.9,39,,,,
