,2024-04-1,16.0,19.3,0,,,,,,17.0,58,8,E,4,1031.1,,,,,,1028.4
,2024-04-2,13.9,20.3,0,,,,,,16.5,64,8,W,2,1030.1,,,,,,1027.9
,2024-04-3,12.9,20.9,0,,,,,,17.0,71,8,N,2,1031.0,,,,,,1028.7
,2024-04-4,13.6,23.2,0,,,,,,18.1,62,1,E,24,1027.0,,,,,,1022.2
,2024-04-5,13.0,29.5,0,,,,,,18.2,64,1, ,Calm,1019.5,,,,,,1015.9
,2024-04-6,14.5,21.5,0,,,,,,19.9,86,6,ESE,35,1020.2,,,,,,1019.4
,2024-04-7,18.2,22.1,0,,,,,,19.5,77,6,SSE,15,1022.6,,,,,,1021.9
,2024-04-8,16.0,20.7,0,,,,,,18.0,70,7,S,11,1028.5,,,,,,1027.9
,2024-04-9,14.5,19.2,1.2,,,,,,17.2,76,6,E,19,1029.5,,,,,,1026.7
,2024-04-10,14.4,20.0,1.8,,,,,,17.4,82,7,E,6,1028.7,,,,,,1027.4
,2024-04-11,14.8,19.1,1.5,,,,,,15.7,91,8,SE,7,1028.1,,,,,,1025.6
,2024-04-12,15.0,20.0,9.6,,,,,,16.9,91,6,E,4,1026.5,,,,,,1023.0
,2024-04-13,15.7,20.5,0,,,,,,17.0,86,7,NE,7,1022.2,,,,,,1019.2
,2024-04-14,10.5,21.0,0,,,,,,14.6,96,7, ,Calm,1024.5,,,,,,1023.7
,2024-04-15,14.0,21.4,0,,,,,,17.0,90,1,NNE,2,1027.7,,,,,,1025.9
,2024-04-16,12.6,21.9,0,,,,,,16.1,94,0,NNE,2,1029.3,,,,,,1026.0
,2024-04-17,14.5,21.6,0,,,,,,18.1,85,0,ENE,20,1029.9,,,,,,1027.6
,2024-04-18,15.0,24.0,0,,,,,,19.0,84,1,SE,13,1029.7,,,,,,1026.5
,2024-04-19,13.3,24.0,0,,,,,,17.0,70,1,N,7,1026.7,,,,,,1023.7
,2024-04-20,11.8,30.0,0,,,,,,17.0,76,1,NNE,2,1025.5,,,,,,1021.9
,2024-04-21,12.1,29.0,0,,,,,,16.6,69,1,NNW,6,1021.7,,,,,,1017.9
,2024-04-22,15.4,17.8,3.2,,,,,,16.4,67,7,SW,39,1025.7,,,,,,1027.2
,2024-04-23,14.5,16.4,0,,,,,,15.6,63,8,S,15,1034.1,,,,,,1032.2
,2024-04-24,13.2,18.0,0,,,,,,15.1,73,7,N,4,1034.3,,,,,,1031.2
,2024-04-25,13.5,20.8,0.8,,,,,,16.2,68,7,E,7,1030.7,,,,,,1027.7
,2024-04-26,14.0,21.5,0,,,,,,17.0,64,2,ENE,19,1022.0,,,,,,1017.7
,2024-04-27,12.2,21.2,0,,,,,,16.1,78,1,WNW,4,1016.5,,,,,,1016.1
,2024-04-28,15.6,18.9,0,,,,,,16.9,58,4,SSW,17,1024.5,,,,,,1025.5
,2024-04-29,14.5,20.0,0,,,,,,17.2,60,3,E,11,1031.2,,,,,,1028.5
,2024-04-30,12.6,20.8,0.4,,,,,,15.8,66,3,NE,13,1030.1,,,,,,1026.5
