,2025-06-1,14.3,20.0,5.6,,,,,,14.8,91,6,NE,2,1018.6,,,,,,1016.7
,2025-06-2,12.5,22.0,0,,,,,,13.8,85,7,NE,13,1012.9,,,,,,1007.8
,2025-06-3,14.0,22.9,3.4,,,,,,16.4,91,1,NNE,9,1005.2,,,,,,1003.1
,2025-06-4,14.4,19.3,0.3,,,,,,17.5,86,8,N,7,1002.2,,,,,,998.6
,2025-06-5,15.1,18.3,33.4,,,,,,16.9,71,4,W,31,1011.8,,,,,,1015.6
,2025-06-6,12.4,16.8,1.2,,,,,,13.7,89,5,NNW,22,1024.9,,,,,,1024.5
,2025-06-7,12.1,17.8,1.2,,,,,,13.9,84,4,W,9,1028.4,,,,,,1027.0
,2025-06-8,9.0,20.0,0,,,,,,11.0,87,1,N,4,1027.5,,,,,,1024.6
,2025-06-9,7.2,19.7,0,,,,,,11.0,77,4,N,7,1022.8,,,,,,1018.1
,2025-06-10,11.0,17.2,2.2,,,,,,12.5,84,8, ,,1010.9,,,,,,1010.8
,2025-06-11,9.9,15.4,21.0,,,,,,11.7,92,7,NW,20,1020.6,,,,,,1020.4
,2025-06-12,8.2,18.7,6.4,,,,,,12.0,70,1,NNW,15,1023.1,,,,,,1020.3
,2025-06-13,12.0,16.8,0.4,,,,,,14.5,88,7,NNW,7,1017.6,,,,,,1019.9
,2025-06-14,8.0,18.0,2.0,,,,,,11.5,94,8,N,6,1022.4,,,,,,1017.5
,2025-06-15,11.5,16.7,5.6,,,,,,15.8,62,5,WSW,28,1018.6,,,,,,1019.4
,2025-06-16,8.5,18.3,0.4,,,,,,9.8,91,1, ,Calm,1022.0,,,,,,1020.3
,2025-06-17,9.8,19.1,0,,,,,,13.0,79,8,N,6,1016.3,,,,,,1011.8
,2025-06-18,13.3,19.8,1.2,,,,,,15.7,90,7, ,Calm,1006.7,,,,,,1004.6
,2025-06-19,12.8,19.4,2.4,,,,,,14.9,80,1,NW,22,1011.7,,,,,,1010.0
,2025-06-20,13.2,21.0,0,,,,,,15.9,75,6,N,9,1006.8,,,,,,1001.3
,2025-06-21,10.0,15.4,11.2,,,,,,10.0,97,8,N,11,1005.4,,,,,,1004.6
,2025-06-22,10.2,16.5,13.4,,,,,,15.0,69,7,SW,63,1016.3,,,,,,1013.7
,2025-06-23,10.5,15.5,13.8,,,,,,13.1,69,8,WSW,46,1022.4,,,,,,1022.0
,2025-06-24,12.2,15.6,2.2,,,,,,14.5,70,7,SW,22,1028.6,,,,,,1028.0
,2025-06-25,10.4,17.8,0.3,,,,,,12.1,85,1,N,6,1030.5,,,,,,1026.8
,2025-06-26,10.1,17.7,0,,,,,,13.8,64,7,NNW,9,1026.2,,,,,,1026.0
,2025-06-27,10.4,20.6,0,,,,,,13.0,94,3,NW,4,1031.0,,,,,,1030.3
,2025-06-28,9.3,18.9,0.1,,,,,,11.8,94,1, ,Calm,1034.0,,,,,,1031.5
,2025-06-29,11.3,16.2,0,,,,,,12.0,76,8,N,7,1029.4,,,,,,1025.8
,2025-06-30,9.5,19.6,0,,,,,,11.6,70,3,NE,7,1018.9,,,,,,1015.2
