,2025-06-1,12.1,20.5,0,,,NE,33,14:32,17.0,68,,W,7,,20.3,58,,NNW,15,
,2025-06-2,12.9,19.6,0,,,NNW,43,03:03,16.9,72,,NW,9,,18.5,67,,NNE,7,
,2025-06-3,11.6,18.8,0,,,S,44,14:26,14.1,70,,SSW,11,,18.4,45,,SSW,30,
,2025-06-4,9.6,14.6,2.0,,,SSW,67,02:28,10.5,78,,SSW,31,,14.2,60,,SSW,41,
,2025-06-5,10.4,16.9,0.8,,,SW,46,04:16,13.6,56,,SSW,28,,16.4,48,,SSW,13,
,2025-06-6,9.2,18.8,0,,,WNW,43,06:10,13.4,63,,N,9,,16.5,39,,NW,7,
,2025-06-7,10.6,19.3,0,,,W,80,16:49,15.2,60,,N,11,,17.8,35,,W,30,
,2025-06-8,8.9,16.3,0,,,WNW,72,05:19,13.5,50,,WNW,39,,15.8,36,,WNW,11,
,2025-06-9,9.3,14.2,0,,,WNW,76,08:11,11.1,53,,WNW,50,,11.2,61,,W,37,
,2025-06-10,10.4,17.7,0.6,,,W,61,07:13,14.0,51,,W,26,,16.2,45,,W,26,
,2025-06-11,10.1,17.0,0,,,WSW,44,07:29,12.4,54,,WSW,24,,16.4,40,,SW,20,
,2025-06-12,8.7,16.4,0,,,S,35,16:29,13.4,51,,WSW,6,,16.1,47,,SSW,20,
,2025-06-13,11.0,15.8,0,,,SSW,54,11:18,12.9,65,,SW,24,,13.3,76,,SSW,35,
,2025-06-14,10.7,17.0,2.2,,,S,31,10:35,13.7,71,,SSW,20,,15.5,74,,SSE,22,
,2025-06-15,10.7,18.8,0,,,S,41,19:58,13.6,68,, ,Calm,,17.4,49,, ,Calm,
,2025-06-16,7.7,16.9,0,,,NNE,17,11:14,13.2,59,, ,Calm,,16.4,53,, ,Calm,
,2025-06-17,9.0,19.5,0,,,WSW,46,14:31,15.0,51,, ,Calm,,18.3,35,,W,24,
,2025-06-18,9.3,17.3,0,,,W,28,06:48,13.3,49,,WSW,9,,16.2,46,, ,Calm,
,2025-06-19,8.2,18.7,0,,,NNW,35,13:33,12.8,52,, ,Calm,,17.9,54,,N,15,
,2025-06-20,6.9,17.4,0,,,W,19,22:53,14.4,52,,WNW,7,,16.2,55,, ,Calm,
,2025-06-21,9.0,19.6,0,,,WNW,30,06:46,14.3,69,,WNW,11,,18.3,52,, ,Calm,
,2025-06-22,11.9,20.6,0,,,WNW,24,07:59,16.5,44,,NW,7,,18.9,52,, ,Calm,
,2025-06-23,10.5,20.0,0,,,,,,16.9,48,,N,6,,19.1,72,,NNE,31,
,2025-06-24,16.2,21.1,,,,NNW,61,14:10,16.7,71,,WNW,30,,20.5,52,,NW,31,
,2025-06-25,12.6,16.8,0.8,,,WNW,117,09:02,13.8,46,,WNW,81,,15.6,43,,W,37,
,2025-06-26,9.3,14.6,0,,,S,52,09:53,11.6,43,,SW,28,,14.1,46,,SSW,26,
,2025-06-27,9.8,15.7,0,,,S,37,16:43,12.4,57,,SSW,15,,15.5,61,,S,26,
,2025-06-28,10.2,17.0,0,,,WSW,19,00:13,14.2,65,,SW,9,,16.7,64,,NE,9,
,2025-06-29,10.8,19.1,0,,,WSW,33,10:28,14.5,61,,WNW,17,,17.4,59,,ESE,11,
,2025-06-30,8.2,16.7,0,,,S,39,14:10,13.9,65,, ,Calm,,15.4,66,,S,28,
