,2024-05-1,10.9,16.0,0.6,,,ESE,43,14:28,13.8,68,8,SE,24,1034.9,15.0,64,7,ESE,22,1033.5
,2024-05-2,11.9,15.7,0,,,,35,12:24,13.1,60,8,ESE,19,1034.7,14.9,57,3,E,20,1031.8
,2024-05-3,9.9,17.1,0,,,S,30,14:08,13.2,85,1,ENE,15,1031.0,16.1,66,2,S,19,1028.0
,2024-05-4,8.0,17.0,0,,,E,30,11:24,12.7,100,,ENE,11,1027.6,16.2,77,4,ESE,17,1025.2
,2024-05-5,6.1,17.2,0.2,,,ENE,39,16:46,14.2,100,5,SE,15,1028.7,16.4,75,2,ESE,26,1028.6
,2024-05-6,10.7,16.9,0,,,ESE,39,11:48,14.1,71,4,SE,20,1034.6,15.3,60,4,ESE,20,1032.4
,2024-05-7,7.2,17.7,0,,,E,31,12:11,12.4,100,,ESE,7,1033.4,16.2,70,1,ESE,15,1031.6
,2024-05-8,3.9,17.5,0,,,E,28,12:30,12.3,100,,E,7,1033.4,15.6,67,4,SE,19,1030.2
,2024-05-9,5.6,17.6,0.2,,,ESE,30,20:42,12.2,100,8,ENE,11,1031.6,16.7,60,8,E,20,1030.0
,2024-05-10,12.2,17.6,1.8,,,ESE,37,10:38,13.3,98,7,SE,17,1031.3,15.6,85,8,S,17,1028.8
,2024-05-11,8.7,18.4,1.0,,,NE,33,11:23,14.6,100,1,ENE,17,1028.6,17.5,72,,NE,17,1026.6
,2024-05-12,8.2,18.2,0.2,,,ENE,20,13:29,11.6,100,,NNE,9,1025.4,16.0,72,7,WSW,7,1023.1
,2024-05-13,9.5,16.5,0.6,,,WNW,35,04:57,13.2,100,8,NW,20,1022.9,15.7,64,,WSW,20,1023.0
,2024-05-14,10.4,14.6,0.2,,,SW,31,02:14,12.2,88,8,NW,6,1029.4,14.2,62,8,WNW,13,1029.1
,2024-05-15,4.2,16.0,0,,,,28,13:16,10.5,89,,NNW,9,1029.7,15.3,69,,,,1028.9
,2024-05-16,6.5,16.3,0,,,,26,14:18,11.4,100,,,,1029.6,15.2,74,,,,1027.8
,2024-05-17,8.6,14.9,0.2,,,,33,09:24,13.6,97,2,,,1027.9,13.7,67,8,,,1029.5
,2024-05-18,7.3,13.7,1.0,,,,31,00:08,11.3,58,6,,,1035.5,13.2,52,8,,,1033.4
,2024-05-19,9.8,15.7,0,,,,50,11:50,13.1,91,8,,,1026.7,14.5,83,8,,,1024.9
,2024-05-20,10.4,14.7,1.0,,,,28,02:41,12.4,85,7,,,1030.1,12.2,89,8,,,1030.2
,2024-05-21,8.3,13.6,1.2,,,,26,11:27,10.8,89,8,,,1032.9,13.1,62,7,,,1031.1
,2024-05-22,3.0,,0,,,,,,10.2,100,,,,1029.9,13.6,68,,W,13,1027.9
,2024-05-23,2.8,14.3,,,,W,48,00:41,9.4,99,8,N,7,1029.2,13.2,65,8,W,13,1028.0
,2024-05-24,5.4,14.3,0.6,,,E,24,11:24,11.2,100,8, ,Calm,1029.0,13.3,84,8,ESE,15,1027.6
,2024-05-25,4.4,15.3,0.2,,,SE,19,15:05,9.4,100,7,E,9,1028.8,14.3,65,6,ESE,11,1026.5
,2024-05-26,3.9,17.3,0.2,,,NW,28,12:42,7.4,100,,N,13,1026.1,16.8,46,,WNW,19,1024.0
,2024-05-27,6.2,18.9,0,,,NW,35,12:17,10.5,68,,N,13,1025.6,17.1,60,,WNW,20,1024.1
,2024-05-28,7.6,21.8,0,,,N,37,12:31,13.0,61,,N,17,1025.5,21.6,37,,NNW,15,1022.9
,2024-05-29,8.0,19.3,0,,,N,46,11:43,11.0,61,,N,13,1021.3,18.8,38,,N,20,1016.6
,2024-05-30,11.0,17.1,0,,,NW,65,23:15,17.0,49,5,N,28,1007.5,13.4,100,8,NNW,20,1004.9
,2024-05-31,10.0,14.2,7.4,,,W,65,12:11,11.1,79,8,WNW,35,1009.0,13.5,64,4,W,37,1012.7
